Node Number	Shear Elastic Strain (mm/mm)
1091	1.3647e-004
1092	1.2837e-004
1093	1.1249e-004
1094	8.3185e-005
1095	3.1288e-005
1096	-5.6869e-005
1097	-2.2448e-004
1098	-5.5431e-004
1099	-1.498e-003
1100	-5.6435e-006
1101	-8.0148e-006
1102	-1.077e-005
1103	-1.36e-005
1104	-1.5287e-005
1105	-1.5581e-005
1106	-1.2156e-005
1107	-6.5055e-006
1108	1.0137e-005
1109	3.0259e-005
1110	8.4449e-005
1111	1.7935e-004
1112	2.6206e-004
1113	9.085e-004
1114	5.0263e-006
1115	-1.3952e-003
1116	-1.3755e-003
1117	-1.3228e-003
1118	-1.2488e-003
1119	-1.1615e-003
1120	-1.0672e-003
1121	-9.7071e-004
1122	-8.7542e-004
1123	-7.8331e-004
1124	-6.9554e-004
1125	-6.1281e-004
1126	-5.3561e-004
1127	-4.6426e-004
1128	-3.9903e-004
1129	-3.4007e-004
1130	-2.8743e-004
1131	-2.4112e-004
1132	-2.0116e-004
1133	-1.6793e-004
1134	-1.323e-004
1135	-1.3129e-004
1136	-1.2804e-004
1137	-1.2364e-004
1138	-1.1843e-004
1139	-1.1267e-004
1140	-1.0656e-004
1141	-1.0025e-004
1142	-9.3883e-005
1143	-8.7569e-005
1144	-8.139e-005
1145	-7.5404e-005
1146	-6.9647e-005
1147	-6.4136e-005
1148	-5.8874e-005
1149	-5.3852e-005
1150	-4.9054e-005
1151	-4.4455e-005
1152	-4.0029e-005
1153	-3.5746e-005
1154	-3.1574e-005
1155	-2.7481e-005
1156	-2.3434e-005
1157	-1.9407e-005
1158	-1.5375e-005
1159	-1.1336e-005
1160	-7.3206e-006
1161	-3.4509e-006
1162	3.5786e-008
1163	6.2657e-006
1164	5.3992e-006
1165	5.0121e-006
1166	4.819e-006
1167	4.6826e-006
1168	4.5273e-006
1169	4.3116e-006
1170	4.0126e-006
1171	3.6186e-006
1172	3.1253e-006
1173	2.5329e-006
1174	1.8453e-006
1175	1.0691e-006
1176	2.1283e-007
1177	-7.1309e-007
1178	-1.6967e-006
1179	-2.7246e-006
1180	-3.7823e-006
1181	-4.8545e-006
1182	-5.9252e-006
1183	-6.9784e-006
1184	-7.9989e-006
1185	-8.9729e-006
1186	-9.888e-006
1187	-1.0734e-005
1188	-1.1496e-005
1189	-1.2164e-005
1190	-1.2628e-005
1191	-1.2618e-005
1192	-1.4203e-005
1193	-1.4822e-005
1194	-1.531e-005
1195	-1.578e-005
1196	-1.6208e-005
1197	-1.6546e-005
1198	-1.6732e-005
1199	-1.6711e-005
1200	-1.644e-005
1201	-1.5904e-005
1202	-1.5116e-005
1203	-1.4134e-005
1204	-1.3052e-005
1205	-1.1984e-005
1206	-1.1011e-005
1207	-1.0102e-005
1208	-9.0957e-006
1209	-7.8218e-006
1210	-6.2168e-006
1211	7.2285e-004
1212	5.516e-004
1213	4.3212e-004
1214	3.5967e-004
1215	2.6648e-004
1216	2.528e-004
1217	1.6309e-004
1218	1.7141e-004
1219	9.9221e-005
1220	1.1208e-004
1221	5.6113e-005
1222	6.6198e-005
1223	2.506e-005
1224	2.8881e-005
